   well number F507080
1.67e-001,7.50e-002
2.17e-001,1.06e-001
3.17e-001,1.33e-001
4.67e-001,1.48e-001
6.83e-001,1.57e-001
1.00e+000,1.63e-001
1.47e+000,1.68e-001
2.12e+000,1.74e-001
3.12e+000,1.81e-001
4.62e+000,1.89e-001
6.78e+000,1.98e-001
1.01e+001,2.08e-001
1.59e+001,2.24e-001
2.19e+001,2.32e-001
3.19e+001,2.42e-001
4.69e+001,2.58e-001
6.79e+001,2.74e-001
1.01e+002,2.98e-001
1.51e+002,3.28e-001
2.11e+002,3.53e-001
3.53e+002,4.20e-001
4.99e+002,4.40e-001
6.86e+002,4.80e-001
1.00e+003,5.00e-001
1.48e+003,5.30e-001
2.20e+003,5.60e-001
3.10e+003,5.80e-001
4.33e+003,6.10e-001
   well number F377037
0.072,0.003
0.105,0.006
0.155,0.012
0.222,0.020
0.322,0.026
0.472,0.030
0.688,0.034
1.005,0.037
1.472,0.041
2.238,0.047
3.238,0.052
4.738,0.062
6.738,0.072
10.072,0.087
15.905,0.107
21.905,0.116
31.905,0.129
46.905,0.149
67.905,0.171
100.905,0.203
150.905,0.239
220.905,0.276
351.900,0.330
500.900,0.360
687.900,0.390
1001.900,0.430
1481.900,0.460
2202.900,0.490
3103.900,0.510
4336.900,0.540
   well number F383032
3.320,0.050
10.000,0.080
15.600,0.080
27.000,0.100
34.500,0.110
51.800,0.130
86.700,0.160
119.000,0.180
147.000,0.200
226.000,0.240
329.000,0.280
506.000,0.290
706.000,0.360
1000.000,0.390
1490.000,0.420
2210.000,0.460
3120.000,0.480
4350.000,0.520
   well number F383061
0.317,0.030
0.433,0.050
0.700,0.050
0.867,0.050
1.500,0.070
2.170,0.070
5.780,0.100
8.730,0.100
14.500,0.120
22.900,0.130
33.700,0.140
51.100,0.150
85.600,0.180
118.000,0.190
146.000,0.210
224.000,0.250
328.000,0.290
507.000,0.330
773.000,0.370
1010.000,0.390
1490.000,0.430
2210.000,0.450
3120.000,0.480
4350.000,0.510
   well number F383082
4.700,0.100
11.100,0.130
16.800,0.130
28.500,0.140
35.300,0.140
52.800,0.150
64.100,0.160
87.700,0.180
149.000,0.210
227.000,0.240
331.000,0.270
505.000,0.310
708.000,0.330
1000.000,0.360
1490.000,0.400
2210.000,0.420
3300.000,0.460
4350.000,0.490
    well number F383129
8.230,0.080
18.500,0.090
29.500,0.100
36.000,0.100
53.600,0.110
64.900,0.120
88.700,0.140
151.000,0.160
228.000,0.180
333.000,0.210
501.000,0.240
703.000,0.270
1010.000,0.300
1490.000,0.320
2390.000,0.360
3300.000,0.390
4350.000,0.420
   well number F384033
0.233,0.010
0.900,0.020
1.620,0.020
2.300,0.030
3.570,0.030
4.900,0.040
6.520,0.040
10.300,0.040
15.200,0.050
22.600,0.050
32.100,0.060
46.300,0.070
68.800,0.080
104.000,0.100
154.000,0.120
223.000,0.150
321.000,0.200
474.000,0.240
695.000,0.260
1010.000,0.300
2210.000,0.360
3300.000,0.400
4340.000,0.420
    well number F381056
1.080,0.030
2.320,0.020
3.220,0.030
4.730,0.030
6.730,0.040
10.900,0.040
15.900,0.040
22.900,0.050
32.900,0.060
47.900,0.070
70.900,0.080
101.000,0.090
151.000,0.120
231.000,0.160
332.000,0.180
483.000,0.200
699.000,0.230
1010.000,0.270
2220.000,0.320
3850.000,0.370
   well number F347031
6.900,0.010
10.200,0.010
15.400,0.020
22.000,0.020
32.600,0.020
50.300,0.030
70.600,0.030
106.000,0.050
157.000,0.060
227.000,0.080
324.000,0.100
475.000,0.130
694.000,0.150
1010.000,0.190
1490.000,0.220
2210.000,0.250
3290.000,0.280
4340.000,0.300
    well number F434060
1.970,0.150
9.920,0.240
20.000,0.290
29.000,0.320
54.900,0.370
100.000,0.440
149.000,0.480
240.000,0.520
337.000,0.590
545.000,0.650
765.000,0.690
1150.000,0.710
2200.000,0.760
3280.000,0.790
4330.000,0.820
   well number F450061
2.880,0.090
13.200,0.140
22.400,0.170
33.300,0.190
64.200,0.230
96.000,0.270
152.000,0.300
243.000,0.350
350.000,0.410
496.000,0.440
681.000,0.460
1060.000,0.510
1480.000,0.530
2200.000,0.560
3100.000,0.580
4330.000,0.610
   well number F476061
3.620,0.090
10.600,0.130
20.700,0.170
30.000,0.190
55.700,0.220
97.900,0.270
150.000,0.310
242.000,0.350
343.000,0.440
494.000,0.440
678.000,0.480
1060.000,0.510
1470.000,0.530
2200.000,0.560
3280.000,0.590
4330.000,0.620
   well number F478061
4.370,0.040
11.800,0.070
21.500,0.090
30.800,0.090
57.800,0.130
96.900,0.160
151.000,0.190
243.000,0.230
346.000,0.280
495.000,0.300
680.000,0.330
1060.000,0.380
1480.000,0.390
2200.000,0.420
3280.000,0.450
4330.000,0.470
   well number F385032
10.400,0.020
15.700,0.020
22.400,0.030
32.400,0.030
51.300,0.030
61.200,0.030
101.000,0.040
151.000,0.060
221.000,0.080
326.000,0.110
477.000,0.130
692.000,0.150
1020.000,0.170
1480.000,0.210
2210.000,0.230
